agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
USGS,432304102053601, 39N40W 6ADCA,GW,43.38443896,-102.0943214,S,NAD83, 3015, 30,NGVD29,10140201
USGS,432305102185701, 39N42W 5AC,GW,43.38471256,-102.314051,T,NAD83, 3133, 90,NGVD29,10140201
USGS,432305102223001, 39N43W 2BCC2,GW,43.38332278,-102.3851651,T,NAD83, 2890.00, 10,NGVD29,10140201
USGS,432306103161201,008S07E03AC,GW,43.3849809,-103.2704759,S,NAD83, 3030,5,NGVD29,10120109
USGS,432309103165401,008S07E03BCB,GW,43.3858141,-103.2821424,S,NAD83, 3001.6,5,NGVD29,10120109
USGS,432312102053801, 39N40W 6ADC,GW,43.3838834,-102.0923769,S,NAD83, 3011, 20,NGVD29,10140201
USGS,432312102061601, 39N40W 6B,GW,43.38666099,-102.1048773,T,NAD83, 3050, 75,NGVD29,10140201
USGS,432312103225701,008S06E03ADA,GW,43.38664607,-103.3829748,F,NAD83, 3180, 10,NGVD29,10120109
USGS,432313103260401,008S06E05BACD,GW,43.3868962,-103.4349964,F,NAD83, 3620,10,NGVD29,10120109
USGS,432315102590101, 40N37W31,GW,43.39583188,-101.7407038,F,NAD83, 2725.,  5,NGVD29,10140202
USGS,432316102285201, 39N44W 1BB,GW,43.38776609,-102.481558,T,NAD83, 2930.00, 90,NGVD29,10140201
USGS,432316103181201,008S07E05AAD,GW,43.3877583,-103.3038089,S,NAD83, 3120,5,NGVD29,10120109
USGS,432316103183201,008S07E05ABC,GW,43.3877582,-103.3093644,S,NAD83, 3100,5,NGVD29,10120109
USGS,432316103192501,008S07E06AAD,GW,43.387758,-103.3240865,S,NAD83, 3105,5,NGVD29,10120109
USGS,432316103212001,008S06E01BAD,GW,43.38775758,-103.3560306,S,NAD83, 3041,5,NGVD29,10120109
USGS,432317102132001, 39N41W 6BA,GW,43.3880473,-102.2226587,T,NAD83, 2969, 30,NGVD29,10140201
USGS,432318101392901, 39N37W 2ABA,GW,43.3883315,-101.6584817,T,NAD83, 2919, 40,NGVD29,10140202
USGS,432319102220501, 39N43W 2AA,GW,43.3886008,-102.3684978,T,NAD83, 1936, 30,NGVD29,10140201
USGS,432319102225501, 39N43W 2BBA,GW,43.38860065,-102.3823873,T,NAD83, 2880.00, 10,NGVD29,10140201
USGS,432319102250201, 39N43W 4BA,GW,43.3886002,-102.4176666,T,NAD83, 2965.00, 60,NGVD29,10140201
USGS,432319102261301, 39N43W 5BA,GW,43.38859998,-102.4373896,T,NAD83, 3050.00, 10,NGVD29,10140201
USGS,432319103160801,008S07E03AB,GW,43.3885921,-103.2693648,T,NAD83, 3050,5,NGVD29,10120109
USGS,432319103163001,008S07E03BA,GW,43.38859205,-103.2754758,S,NAD83, 3100, 15,NGVD29,10120109
USGS,432319103164401,007S07E34BB,GW,43.388592,-103.2793647,T,NAD83, 2980,5,NGVD29,10120109
USGS,432320102302101, 39N44W 3AA,GW,43.3888769,-102.5062814,T,NAD83, 2820.00, 30,NGVD29,10140201
USGS,432320103213401,008S06E01BBB,GW,43.38886867,-103.3599194,S,NAD83, 3029,5,NGVD29,10120109
USGS,432322103101701,008S08E04ABB,GW,43.38942636,-103.1718642,F,NAD83, 3299.8,5,NGVD29,10120109
USGS,432323103143701,008S07E02AAA2,GW,43.38970359,-103.2440871,F,NAD83, 3120, 10,NGVD29,10120109
USGS,432323103143801,008S07E02AAA,GW,43.38970359,-103.2443649,S,NAD83, 3110.7,5,NGVD29,10120109
USGS,432323103170201,008S07E04AAA,GW,43.38970308,-103.2843646,S,NAD83, 3106.89,5,NGVD29,10120109
USGS,432323103192501,008S07E06AAA,GW,43.3897025,-103.3240864,S,NAD83, 3110,5,NGVD29,10120109
USGS,432325102170601, 40N42W34CBAD,GW,43.39582419,-102.2821054,S,NAD83, 3159.00, 10,NGVD29,10140201
USGS,432325102242701, 40N43W33DD,GW,43.390267,-102.4079439,T,NAD83, 2900, 50,NGVD29,10140201
USGS,432326101404801, 40N37W34DC,GW,43.39055385,-101.6804261,T,NAD83, 2837, 30,NGVD29,10140202
USGS,432328101403801, 40N37W34DCDA,GW,43.3911094,-101.6795928,T,NAD83, 2820, 15,NGVD29,10140202
USGS,432328102294601, 40N44W35CDB,GW,43.39109928,-102.4965588,T,NAD83, 2870, 50,NGVD29,10140201
USGS,432329103102601,007S08E33CDD,GW,43.39137085,-103.1743642,F,NAD83, 3115,5,NGVD29,10120109
USGS,432329103150101,007S07E35DCC,GW,43.39137026,-103.2507538,F,NAD83, 3102,5,NGVD29,10120109
USGS,432329103152801,007S07E35CCD,GW,43.39137016,-103.2582538,F,NAD83, 3100,5,NGVD29,10120109
USGS,432329103165701,007S07E33DDD,GW,43.3913698,-103.2829757,F,NAD83, 3103.6,5,NGVD29,10120109
USGS,432329103174201,007S07E33CDC,GW,43.3913696,-103.2954756,F,NAD83, 3111.5,5,NGVD29,10120109
USGS,432330101363501, 40N36W29BB,GW,43.4163872,-101.610148,M,NAD83, 2920, 30,NGVD29,10140202
USGS,432330102300701, 40N44W35CC,GW,43.39165478,-102.5023924,T,NAD83, 2847.00, 50,NGVD29,10140201
USGS,432332102232101, 40N43W34DDC,GW,43.39026725,-102.3896098,T,NAD83, 2875.00, 10,NGVD29,10140201
USGS,432332102240901, 40N43W34CC,GW,43.3908226,-102.4037771,T,NAD83, 2900.00, 40,NGVD29,10140201
USGS,432332102255501, 40N43W32DC,GW,43.39082229,-102.4323894,T,NAD83, 3030.00, 80,NGVD29,10140201
USGS,432333102061501, 40N40W31C,GW,43.3924944,-102.1045995,T,NAD83, 2991, 40,NGVD29,10140201
USGS,432333102125201, 40N41W31DCAB,GW,43.392492,-102.2148807,F,NAD83, 2965, 15,NGVD29,10140201
USGS,432334101590801, 40N39W31CCAA,GW,43.3927746,-101.9859849,F,NAD83, 3182, 16,NGVD29,10140202
USGS,432335103211601,007S06E36CDB,GW,43.3930355,-103.3549195,F,NAD83, 3044.73,5,NGVD29,10120109
USGS,432336102240401, 39N43W 3BBAA R,GW,43.38943377,-102.4004436,F,NAD83, 2900, 10,NGVD29,10140201
USGS,432337101560501, 40N39W33D,GW,43.39360835,-101.9351509,T,NAD83, 3115, 50,NGVD29,10140202
USGS,432337102054801, 40N40W31DBDC,GW,43.3936057,-102.0970993,S,NAD83, 2985, 15,NGVD29,10140201
USGS,432338101405701, 40N37W34CA,GW,43.3938872,-101.6848705,T,NAD83, 2822.00, 45,NGVD29,10140202
USGS,432339103171501,007S07E33DBDD,GW,43.3941476,-103.2879757,F,NAD83, 3105, 10,NGVD29,10120109
USGS,432342103151001,007S07E35CAD,GW,43.39498145,-103.2532538,F,NAD83, 3104,5,NGVD29,10120109
USGS,432343101384001, 40N37W36CA,GW,43.395276,-101.6448705,T,NAD83, 3085, 50,NGVD29,10140202
USGS,432343101570701, 40N39W32DAAC,GW,43.3952749,-101.9523733,F,NAD83, 3142, 35,NGVD29,10140202
USGS,432343102191301, 40N42W32CABC,GW,43.39526816,-102.3207181,T,NAD83, 3050, 10,NGVD29,10140201
