agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd
USGS,415000101165101,34N 22W 29DO  01,GW,42.8854,-99.9296,R,NAD83,2454,1.6,NAVD88,10150006
USGS,423053100531901,33N 30W 9B   01,GW,42.8496,-100.8657,U,NAD83,2936,1.6,NAVD88,10150004
USGS,423214100142501, 34N 25W15DDCD1,GW,42.9119495,-100.2417935,T,NAD83, 2582,  5,NGVD29,10150004
USGS,423244100062001,33N 22W 15AA  01,GW,42.8381,-99.8855,U,NAD83,2487,1.6,NAVD88,10150004
USGS,423405099365101, 34N 24W 2DDCC1,GW,42.93944956,-100.103456,F,NAD83, 2526.00, 20,NGVD29,10220001
USGS,423819099588901,34N 31W 10DA  01,GW,42.9358,-100.9469,U,NAD83,2914,1.6,NAVD88,10150004
USGS,424131101431201,33N 23W 9ACA 01,GW,42.8486,-100.0288,U,NAD83,2509,1.6,NAVD88,10150004
USGS,424802100310701, 33N 27W29DBD 1,GW,42.8005599,-100.5190212,F,NAD83, 2670.00, 20,NGVD29,10150004
USGS,424822100444201, 33N 29W28BC  1,GW,42.8061163,-100.745418,F,NAD83, 2690.00,20,NGVD29,10150004
USGS,424836099483401, 33N 21W29AD  1,GW,42.81000036,-99.80984,F,NAD83, 2397.00,20,NGVD29,10150004
USGS,424852100555901, 33N 31W23DC  1,GW,42.8144494,-100.9334803,F,NAD83, 2930.00,20,NGVD29,10150004
USGS,424904099562901, 33N 22W20CC  1,GW,42.8177798,-99.9417866,F,NAD83, 2411.00,20,NGVD29,10150004
USGS,424912101145101, 33N 33W19DBA 1,GW,42.8200061,-101.24793,F,NAD83, 2975.00, 20,NGVD29,10150004
USGS,424932101024301, 33N 32W23AA  1,GW,42.82556076,-101.0457055,F,NAD83, 3002.00,20,NGVD29,10150004
USGS,424936101192101, 33N 34W21AA  1,GW,42.8266713,-101.3229292,F,NAD83, 3010.00, 10,NGVD29,10150003
USGS,424939100451701, 33N 29W17DC  1,GW,42.82750538,-100.7551406,F,NAD83, 2832.00,20,NGVD29,10150004
USGS,424939100491001, 33N 30W14CDC 1,GW,42.82750529,-100.8198652,F,NAD83, 2835.00,20,NGVD29,10150004
USGS,424949100314701, 33N 27W17CB  1,GW,42.8302826,-100.5301327,F,NAD83, 2408.00, 10,NGVD29,10150004
USGS,424952101185901, 33N 34W15CCA 1,GW,42.8311159,-101.316818,F,NAD83, 3010.00, 20,NGVD29,10150003
USGS,424953099483401, 33N 21W17DD  1,GW,42.8313897,-99.8098398,F,NAD83, 2461.34,0.1,NGVD29,10150006
USGS,424955101204101, 33N 34W17D   1,GW,42.83194868,-101.345151,F,NAD83, 3030.00, 20,NGVD29,10150003
USGS,424958101204501, 33N 34W17DBD 1,GW,42.832782,-101.3462622,F,NAD83, 3028.00,20,NGVD29,10150003
USGS,425001101205001, 33N 34W17DB  1,GW,42.8336153,-101.347651,F,NAD83,,,,10150003
USGS,425024099483001,33N 21W 8DD  1  NE-NP-SWR-B,GW,42.84000099,-99.8087286,F,NAD83, 2382.00, 10,NGVD29,10150006
USGS,425031099490901, 33N 21W17BA  1,GW,42.8419456,-99.8195621,F,NAD83, 2390.02,0.1,NGVD29,10150006
USGS,425031099490902, 33N 21W17BA  2,GW,42.8419456,-99.8195621,F,NAD83, 2390.02,0.1,NGVD29,10150006
USGS,425036099532101,33N 34W 7DDDD01,GW,42.8439,-101.3575,U,NAD83,3035,1.6,NAVD88,10150004
USGS,425037099483001, 33N 21W 8DA  1,GW,42.84361218,-99.8087286,F,NAD83,,,,10150006
USGS,425037099483002, 33N 21W 8DA  2,GW,42.84361218,-99.8087286,F,NAD83,,,,10150006
USGS,425037099501901, 33N 21W 7CA  1,GW,42.8436125,-99.8390069,F,NAD83,,,,10150006
USGS,425043100302901,33N 27W09CA 01 Val Site2 Shallow,GW,42.845339,-100.50815,U,NAD83,2589.0,1.0,NAVD88,101500040902
USGS,425043100302902,33N 27W09CA 02 Val Site2 Deep,GW,42.845339,-100.50815,U,NAD83,2589.0,1.0,NAVD88,101500040902
USGS,425046099562901, 33N 22W 8CC  1,GW,42.84611369,-99.9417863,F,NAD83, 2411.00,20,NGVD29,10150004
USGS,425049100024201, 93N53W27,GW,42.84694785,-100.0453995,F,NAD83,,,,10150004
USGS,425050099494101, 33N 21W 7AD  1,GW,42.84722359,-99.828451,F,NAD83,,,,10150006
USGS,425050099494102, 33N 21W 7AD  2,GW,42.84722359,-99.828451,F,NAD83,,,,10150006
USGS,425054099533401,33N 22W 10ACA 01,GW,42.8484,-99.8929,U,NAD83,2442,1.6,NAVD88,10150004
USGS,425100100092401, 93N53W27BA,GW,42.85000386,-100.1570689,F,NAD83,,,,10150004
USGS,425105100017401,34N 22W 32AB  01,GW,42.8801,-99.9346,U,NAD83,2469,1.6,NAVD88,10150006
USGS,425105100518301,34N 24W 23ABB 01,GW,42.911,-100.108,U,NAD83,2507,1.6,NAVD88,10150006
USGS,425110100300301, 33N 27W 9ABAB1,GW,42.85280556,-100.5007222,5,NAD83, 2570, 10,NGVD29,10150004
USGS,425112101222601, 33N 34W 7B   1,GW,42.85333727,-101.3743172,F,NAD83, 3045.00, 20,NGVD29,10150003
USGS,425114099540401, 33N 22W10BCA 1,GW,42.85389118,-99.9015078,F,NAD83, 2430.00, 10,NGVD29,10150004
USGS,425122099546601,33N 22W 9AB  01,GW,42.8512,-99.9111,U,NAD83,2445,1.6,NAVD88,10150004
USGS,425125100312701,33N 27W05CA 01 Val Site1 Shallow,GW,42.856989,-100.5244,U,NAD83,2474.0,1.0,NAVD88,101500040902
USGS,425125100312702,33N 27W05CA 02 Val Site1 Medium,GW,42.856989,-100.5244,U,NAD83,2474.0,1.0,NAVD88,101500040902
USGS,425125100312703,33N 27W05CA 03 Val Site1 Deep,GW,42.856989,-100.5244,U,NAD83,2474.0,1.0,NAVD88,101500040902
USGS,425136100314301, 33N 27W 5CBA 1,GW-TH,42.86000526,-100.5290216,S,NAD83, 2547.00, 10,NGVD29,10150004
USGS,425136100330301, 33N 27W 6CBB 1,GW,42.86000529,-100.5512446,F,NAD83, 2590, 10,NGVD29,10150004
USGS,425137099505501, 33N 22W 1DD  1,GW,42.8602796,-99.8490069,F,NAD83, 2475.00,20,NGVD29,10150006
USGS,425140100250601, 93N52W22BD,GW,42.86111605,-100.4187412,F,NAD83,,,,10150004
USGS,425143100330301, 33N 27W 6BCC 1,GW,42.86194976,-100.5512446,F,NAD83, 2585.00, 20,NGVD29,10150004
USGS,425149100461001, 33N 29W 6AD  1,GW,42.86361675,-100.7698636,F,NAD83, 2815.00,20,NGVD29,10150004
USGS,425154100342301, 33N 28W 1BB  1,GW,42.8649722,-100.5729444,5,NAD83, 2598,  5,NGVD29,10150004
USGS,425159100320501, 33N 27W 6AA  1,GW,42.86639424,-100.5351329,F,NAD83,,,,10150004
USGS,425205101271301, 33N 35W 4BBD 1,GW,42.86805819,-101.4540382,F,NAD83, 3080.00, 20,NGVD29,10150003
USGS,425210100331103, 34N 28W36DDD 3,GW,42.86944987,-100.5534669,F,NAD83, 2584.00,20,NGVD29,10150004
USGS,425225100314701, 34N 27W32CB  1,GW,42.87361656,-100.5301327,F,NAD83, 2400.00,20,NGVD29,10150004
USGS,425225100320501, 34N 27W31DA  1,GW,42.87361657,-100.5351329,F,NAD83, 2580., 10,NGVD29,10150004
USGS,425234099565501, 34N 22W31D   1,GW,42.8761143,-99.9490084,F,NAD83, 2515.00, 10,NGVD29,10150006
USGS,425238101161101, 34N 34W36DBB 1,GW,42.87722847,-101.2701518,F,NAD83, 3114.00,20,NGVD29,10150003
USGS,425240100511301, 34N 30W33ACC 1,GW,42.8777834,-100.8540335,F,NAD83, 2910.00, 20,NGVD29,10150004
USGS,425241100271301, 93N56W14AB2,GW,42.87806087,-100.4540197,F,NAD83,,,,10150004
USGS,425242100154101, 34N 25W33A   1,GW,42.87833798,-100.2617938,F,NAD83,,,,10150004
USGS,425243100512601, 34N 30W33BD  1,GW,42.87861677,-100.8576447,F,NAD83, 2917.00, 10,NGVD29,10150004
USGS,425244100042001, 34N 23W31CAAB1,GW,42.8788929,-100.0726222,F,NAD83, 2560.00, 20,NGVD29,10150006
USGS,425252100005201, 34N 23W34BD  1,GW,42.88111499,-100.0148429,F,NAD83, 2551.00,20,NGVD29,10150006
USGS,425253099562501,34N 22W 29CO  01,GW,42.8854,-99.9394,U,NAD83,2461,1.6,NAVD88,10150006
USGS,425256100351301, 34N 28W35BBA 1,GW,42.88216667,-100.5870556,5,NAD83, 2630, 10,NGVD29,10150004
USGS,425288099557001,34N 22W 29A   01,GW,42.8926,-99.9295,U,NAD83,2451,1.6,NAVD88,10150006
